filename	spectral_type	luminosity_class	Teff	mU	mV	mK	mBol	BC_U	BC_V	BC_K
pickles_uk_1	O5	V	39810.7	-6.211844240373715	-5.400985950359292	-2.46880397073825	-6.349689052454217	0.1378448120805018	0.9487031020949246	3.8808850817159666
pickles_uk_2	O9	V	35481.4	-4.719122621412417	-4.00272119008396	-1.1810340632264982	-5.594923524167939	0.8758009027555218	1.5922023340839786	4.413889460941441
pickles_uk_3	B0	V	28183.8	-4.352488947017399	-3.701350252432327	-1.0120291815738298	-5.323059500672585	0.9705705536551861	1.6217092482402578	4.311030319098755
pickles_uk_4	B1	V	22387.2	-3.660915849638535	-3.2012760407319405	-0.6332882076546227	-4.537119289486775	0.8762034398482399	1.3358432487548342	3.903831081832152
pickles_uk_5	B3	V	19054.6	-2.268981931996585	-2.102592047408841	0.529268291263449	-3.0805215144327533	0.8115395824361684	0.9779294670239125	3.6097898056962023
pickles_uk_6	B6	V	14125.4	-0.5321932302614556	-0.6990032349941586	1.4925970498876353	-1.367973369583325	0.8357801393218693	0.6689701345891663	2.8605704194709602
pickles_uk_7	B8	V	11749.0	0.37465564704142196	0.00045065928753018625	2.043972907047909	-0.4948152668163104	0.8694709138577323	0.49526592610384057	2.5387881738642193
pickles_uk_9	A0	V	9549.93	1.3671910289128348	0.5982119029043744	2.444275615350911	0.2547360873287019	1.112454941584133	0.3434758155756725	2.189539528022209
pickles_uk_10	A2	V	8912.51	1.9342736194940642	1.0955903929506476	3.0709762902417808	0.801428008531893	1.1328456109621712	0.29416238441875464	2.2695482817098878
pickles_uk_11	A3	V	8790.23	2.2767872008984824	1.3948433110335259	3.361811672340977	1.1097987606050523	1.16698844029343	0.28504455042847354	2.2520129117359247
pickles_uk_12	A5	V	8491.8	2.865052220680532	1.8957806894694684	3.3524423368012535	1.545544114120169	1.319508106560363	0.35023657534929953	1.8068982226810846
pickles_uk_14	F0	V	7211.08	3.6759764766929734	2.5960047812306257	3.7317550159459714	2.147539265879338	1.5284372108136353	0.44846551535128754	1.5842157500666332
pickles_uk_15	F2	V	6776.42	4.012264575561666	2.898467341416122	4.09703369164383	2.42724886603731	1.585015709524356	0.47121847537881223	1.66978482560652
pickles_uk_16	F5	V	6531.31	4.538823951327402	3.395323899088787	4.180714858040211	2.8230301625543106	1.715793788773091	0.5722937365344762	1.3576846954859008
pickles_uk_20	F8	V	6039.48	5.215338467534075	3.89631215928506	4.493727703440086	3.2242981556879613	1.9910403118461133	0.6720140035970985	1.2694295477521251
pickles_uk_23	G0	V	5807.64	5.723250916346721	4.293131993479449	4.838984441445035	3.606793339166032	2.1164575771806895	0.6863386543134169	1.2321911022790033
pickles_uk_26	G2	V	5636.38	6.218647177690457	4.692957185215967	4.976808310624769	3.8961029797323548	2.322544197958102	0.7968542054836121	1.080705330892414
pickles_uk_27	G5	V	5584.7	6.872742603816285	5.195868900376368	5.529604621835894	4.415799318892731	2.456943284923554	0.7800695814836374	1.1138053029431632
pickles_uk_30	G8	V	5333.35	7.4255508757765725	5.592938357643668	5.680155241423066	4.7072550947739344	2.718295781002638	0.8856832628697333	0.9729001466491312
pickles_uk_31	K0	V	5188.0	7.833122692122664	5.894456205835503	5.817687061272991	4.941382657606532	2.8917400345161326	0.9530735482289714	0.8763044036664596
pickles_uk_33	K2	V	4886.52	8.696017288649486	6.393025372534289	5.99764439181434	5.261674232592554	3.4343430560569317	1.131351139941735	0.735970159221786
pickles_uk_36	K5	V	4187.94	10.292052393090238	7.195943401728421	6.147176744582055	5.604528639249011	4.687523753841226	1.5914147624794097	0.5426481053330434
pickles_uk_37	K7	V	3999.45	11.123486254429046	7.902257281888282	6.64081692743688	6.109948855288067	5.013537399140979	1.792308426600215	0.530868072148813
pickles_uk_38	M0	V	3801.89	12.278177365054738	8.998621455764471	7.155411694649402	6.812411177229649	5.465766187825089	2.1862102785348227	0.34300051741975324
pickles_uk_40	M2	V	3548.13	14.474648642368372	11.199069549485998	8.906034318475555	8.611072436808392	5.86357620555998	2.5879971126776056	0.2949618816671631
pickles_uk_43	M4	V	3111.72	17.21037693697121	13.386130277204842	9.94548712580783	9.76842613631107	7.441950800660138	3.617704140893771	0.1770609894967592
pickles_uk_44	M5	V	2951.21	18.488423125259253	14.596231975046052	10.06018576725969	10.103470605916065	8.384952519343187	4.492761369129987	-0.04328483865637622
pickles_uk_46	B2	IV	19952.6	-3.8865056949818353	-3.400130545796756	-0.8827852902220954	-4.677072992445368	0.7905672974635323	1.2769424466486115	3.794287702223272
pickles_uk_47	B6	IV	12589.3	-1.0107433204345782	-1.3001187506328904	0.8917621210820528	-1.8855392706549594	0.8747959502203813	0.585420520022069	2.777301391737012
pickles_uk_48	A0	IV	9727.47	1.0042013271521952	0.29846846365508384	2.132060306091766	-0.04596574509190532	1.0501670722441006	0.34443420874698916	2.1780260511836715
pickles_uk_49	A7	IV	7943.28	2.3956649850170706	1.4964593174506504	2.9459179594602887	1.141944469716826	1.2537205153002446	0.35451484773382447	1.8039734897434627
pickles_uk_50	F0	IV	7030.72	3.177376717346391	2.0952935109620157	3.1915261039629357	1.630353171423927	1.547023545922464	0.46494033953808866	1.5611729325390087
pickles_uk_51	F5	IV	6561.45	2.6447087839873262	1.4972777337121812	2.3530101337905265	0.9298344446641522	1.714874339323174	0.567443289048029	1.4231756891263743
pickles_uk_52	F8	IV	6151.77	3.6885798831849215	2.295590593176051	2.84926127517717	1.6254965813723956	2.063083301812526	0.6700940118036556	1.2237646938047746
pickles_uk_53	G0	IV	5929.25	4.40319714567984	2.894404643842833	3.310270620408083	2.1920521744490884	2.211144971230752	0.7023524693937446	1.1182184459589948
pickles_uk_54	G2	IV	5688.53	4.567659218434464	2.8949893873307104	3.231337532662799	2.1545368611576805	2.4131223572767837	0.7404525261730299	1.0768006715051186
pickles_uk_55	G5	IV	5597.57	4.837341984240176	2.993256750395581	3.2343636732480547	2.195377690722495	2.641964293517681	0.797879059673086	1.0389859825255598
pickles_uk_56	G8	IV	5308.84	5.180601984054391	3.095086798806001	3.121976248245943	2.1706531350516443	3.009948849002747	0.9244336637543569	0.9513231131942987
pickles_uk_57	K0	IV	5011.87	5.486006015205959	3.0937000970547075	2.8971006612599624	2.079450027253486	3.4065559879524727	1.0142500698012213	0.8176506340064762
pickles_uk_58	K1	IV	4786.3	5.555254016531073	3.095696001469385	2.7897488273968847	1.998779754186117	3.556474262344956	1.0969162472832679	0.7909690732107677
pickles_uk_59	K3	IV	4570.88	6.17118931443887	3.0962885926503247	2.507702590008826	1.8103654545757877	4.360823859863082	1.285923138074537	0.6973371354330382
pickles_uk_60	O8	III	31622.8	-5.936968694207934	-5.2007715653094735	-2.5049152965607533	-6.346263132608918	0.409294438400984	1.1454915672994446	3.8413478360481648
