filename	spectral_type	luminosity_class	Teff	Mu	MB	Mv	U-B	B-V
pickles_uk_1	O5	V	39810.7	-6.205851689701857	-5.880351523963354	-5.39184487062916	-0.3255001657385037	-0.48850665333419396
pickles_uk_2	O9	V	35481.4	-4.711680226846251	-4.43352766861405	-3.990846382703022	-0.2781525582322013	-0.44268128591102807
pickles_uk_3	B0	V	28183.8	-4.349009665260889	-4.142884529068506	-3.692233678832795	-0.20612513619238282	-0.4506508502357107
pickles_uk_4	B1	V	22387.2	-3.661303231058724	-3.5470578789647518	-3.193214841746594	-0.11424535209397213	-0.3538430372181578
pickles_uk_5	B3	V	19054.6	-2.2803230840592668	-2.4060519720319453	-2.093253862299121	0.12572888797267856	-0.3127981097328245
pickles_uk_6	B6	V	14125.4	-0.565521707668867	-0.9469086721783957	-0.6943543595300189	0.3813869645095287	-0.2525543126483768
pickles_uk_7	B8	V	11749.0	0.3482351424417126	-0.21649105066288268	0.004119884487638841	0.5647261931045953	-0.22061093515052152
pickles_uk_9	A0	V	9549.93	1.3289995263398007	0.5017119661469358	0.6038676037504628	0.8272875601928649	-0.10215563760352697
pickles_uk_10	A2	V	8912.51	1.888654164499286	1.0157372717069044	1.1033863640466088	0.8729168927923816	-0.08764909233970442
pickles_uk_11	A3	V	8790.23	2.2410575125411123	1.3753252296650178	1.402361267167458	0.8657322828760945	-0.027036037502440102
pickles_uk_12	A5	V	8491.8	2.828408882527933	1.9377754544164758	1.902006768863425	0.8906334281114572	0.035768685553050794
pickles_uk_14	F0	V	7211.08	3.6575946869265543	2.783314116571809	2.598792138469326	0.8742805703547454	0.18452197810248272
pickles_uk_15	F2	V	6776.42	4.001914405428715	3.1731487328809003	2.897963116073833	0.8287656725478145	0.2751856168070672
pickles_uk_16	F5	V	6531.31	4.543219526948633	3.7338819454027417	3.396857535892663	0.8093375815458912	0.3370244095100787
pickles_uk_20	F8	V	6039.48	5.227166867009162	4.315575795871969	3.895120175375102	0.9115910711371926	0.42045562049686724
pickles_uk_23	G0	V	5807.64	5.72244831359611	4.742852222170298	4.2948498742520425	0.9795960914258117	0.44800234791825577
pickles_uk_26	G2	V	5636.38	6.244367189507075	5.203993584802903	4.693694469554567	1.0403736047041727	0.510299115248336
pickles_uk_27	G5	V	5584.7	6.890892038873703	5.754503423058558	5.193533229945581	1.1363886158151457	0.5609701931129765
pickles_uk_30	G8	V	5333.35	7.462334050378573	6.217311606906709	5.591599478806693	1.2450224434718633	0.625712128100016
pickles_uk_31	K0	V	5188.0	7.838274714938799	6.536767121657338	5.8907287448553625	1.3015075932814613	0.6460383768019753
pickles_uk_33	K2	V	4886.52	8.717757123221977	7.183266398196791	6.387539316295028	1.5344907250251865	0.795727081901763
pickles_uk_36	K5	V	4187.94	10.301885950786676	8.259574973196335	7.17821221893549	2.0423109775903416	1.0813627542608444
pickles_uk_37	K7	V	3999.45	11.125304025301046	9.119800977899073	7.876876351518857	2.005503047401973	1.2429246263802165
pickles_uk_38	M0	V	3801.89	12.275264935559422	10.172636385794963	8.9770712003409	2.102628549764459	1.195565185454063
pickles_uk_40	M2	V	3548.13	14.460406708564035	12.487035402533769	11.177513857864732	1.9733713060302662	1.3095215446690371
pickles_uk_43	M4	V	3111.72	17.16760580235845	14.833026666584423	13.382070154047454	2.334579135774028	1.450956512536969
pickles_uk_44	M5	V	2951.21	18.360240871353746	16.101017533263196	14.579977031406695	2.2592233380905498	1.5210405018565005
pickles_uk_46	B2	IV	19952.6	-3.879904912347138	-3.806008681373732	-3.39314709434189	-0.07389623097340614	-0.4128615870318417
pickles_uk_47	B6	IV	12589.3	-1.0314382554055201	-1.5227010224453805	-1.2949776035769645	0.4912627670398604	-0.22772341886841607
pickles_uk_48	A0	IV	9727.47	0.9685853940021054	0.14303830981774368	0.3037699983372522	0.8255470841843617	-0.16073168851950853
pickles_uk_49	A7	IV	7943.28	2.363868263068174	1.4604477053742173	1.5025734617851945	0.9034205576939567	-0.042125756410977155
pickles_uk_50	F0	IV	7030.72	3.1671225558361367	2.3184152004226055	2.098147459292679	0.8487073554135312	0.22026774112992653
pickles_uk_51	F5	IV	6561.45	2.635156903094018	1.7749771730780628	1.4971736274636176	0.8601797300159553	0.2778035456144452
pickles_uk_52	F8	IV	6151.77	3.6879247363305816	2.7223970546134635	2.2956963204857472	0.9655276817171181	0.42670073412771625
pickles_uk_53	G0	IV	5929.25	4.419986035986247	3.3641522225572467	2.8946242800703175	1.055833813429	0.4695279424869292
pickles_uk_54	G2	IV	5688.53	4.593590698629779	3.4445222115095304	2.893980862572972	1.1490684871202483	0.5505413489365583
pickles_uk_55	G5	IV	5597.57	4.8596713937274	3.6173552776472877	2.9923897412134948	1.242316116080112	0.6249655364337929
pickles_uk_56	G8	IV	5308.84	5.202003074703977	3.78455819015616	3.0909826315475746	1.417444884547817	0.6935755586085852
pickles_uk_57	K0	IV	5011.87	5.4959963899192	3.9091685137382823	3.0885622225302574	1.5868278761809176	0.820606291208025
pickles_uk_58	K1	IV	4786.3	5.559167609107574	3.935274786285679	3.0868528814276335	1.6238928228218947	0.8484219048580455
pickles_uk_59	K3	IV	4570.88	6.185177060327906	4.13610616034587	3.084480532161851	2.049070899982036	1.0516256281840186
pickles_uk_60	O8	III	31622.8	-5.927791887096966	-5.63708503296755	-5.192272903455929	-0.2907068541294153	-0.44481212951162163
pickles_uk_61	B2	III	19952.6	-4.594184745505868	-4.467505793878334	-4.09253255072482	-0.12667895162753418	-0.374973243153514
pickles_uk_63	B5	III	14791.1	-2.0432273201748425	-2.35874221244152	-2.0938119586305657	0.3155148922666773	-0.26493025381095414
pickles_uk_64	B9	III	11091.8	-0.1871264392675409	-0.8904616572523099	-0.6956233328825357	0.703335217984769	-0.1948383243697741
pickles_uk_65	A0	III	9571.94	0.4352327990923279	-0.3773208699588122	-0.2968232909490889	0.8125536690511401	-0.08049757900972332
