filename	spectral_type	luminosity_class	Teff	mU	mV	mK	mBol	BC_U	BC_V	BC_K
pickles_uk_1	O5	V	39810.7	-6.212095713293991	-5.400146056422095	-2.4232282921265096	-6.441078751333201	0.22898303803921038	1.0409326949111062	4.0178504592066915
pickles_uk_2	O9	V	35481.4	-4.716619549598782	-4.000177238909558	-1.129719755292136	-6.092118863213521	1.375499313614739	2.0919416243039635	4.962399107921385
pickles_uk_3	B0	V	28183.8	-4.352154981544345	-3.7001268638953277	-0.965513900893491	-5.6842759569444254	1.3321209754000805	1.9841490930490977	4.7187620560509345
pickles_uk_4	B1	V	22387.2	-3.6633407795226205	-3.2000296301452593	-0.5198679037694376	-4.874337144333012	1.2109963648103914	1.6743075141877526	4.354469240563574
pickles_uk_5	B3	V	19054.6	-2.2743027909749927	-2.1000836178703466	0.5797132779896472	-3.261187129951857	0.9868843389768642	1.1611035120815103	3.840900407941504
pickles_uk_6	B6	V	14125.4	-0.5507341074252778	-0.7000781473902364	1.5905510752528116	-1.4264834613303279	0.87574935390505	0.7264053139400914	3.0170345365831395
pickles_uk_7	B8	V	11749.0	0.37010552665566365	-0.00012158559403729896	2.197519112132234	-0.5173852666497822	0.8874907933054459	0.5172636810557449	2.714904378782016
pickles_uk_9	A0	V	9549.93	1.3558176400329032	0.6000285688622427	2.4915977661951985	0.2121031595785965	1.1437144804543067	0.38792540928364616	2.279494606616602
pickles_uk_10	A2	V	8912.51	1.9181661801336034	1.1000268882451536	3.120339444531787	0.8012835776480713	1.116882602485532	0.29874331059708226	2.3190558668837156
pickles_uk_11	A3	V	8790.23	2.269712088040478	1.3999926183831803	3.4084454245986606	1.1097232668694872	1.159988821170991	0.29026935151369315	2.2987221577291734
pickles_uk_12	A5	V	8491.8	2.858405429559795	1.9000079052921066	3.431167768399547	1.5372447081094336	1.3211607214503616	0.362763197182673	1.8939230602901134
pickles_uk_14	F0	V	7211.08	3.6816157397718143	2.6000303915627754	3.809151824984717	2.136988588372411	1.5446271513994034	0.4630418031903645	1.672163236612306
pickles_uk_15	F2	V	6776.42	4.024998520731579	2.9000633008709187	4.137612399582487	2.427271195476557	1.597727325255022	0.4727921053943618	1.71034120410593
pickles_uk_16	F5	V	6531.31	4.563345336528549	3.4000204093736386	4.225462155438606	2.8231169089438524	1.7402284275846966	0.5769035004297862	1.402345246494754
pickles_uk_20	F8	V	6039.48	5.248761637254056	3.8999643545625773	4.5405113436492215	3.2244009917649876	2.024360645489068	0.6755633627975897	1.3161103518842339
pickles_uk_23	G0	V	5807.64	5.744838967515513	4.299990485076485	4.886675818195897	3.6068691470997294	2.1379698204157833	0.6931213379767556	1.2798066710961677
pickles_uk_26	G2	V	5636.38	6.265502678741065	4.70000728414994	5.028896034871671	3.769768053302464	2.495734625438601	0.9302392308474765	1.2591279815692076
pickles_uk_27	G5	V	5584.7	6.91405388129396	5.200059028112413	5.582020982049215	4.41588510084663	2.4981687804473296	0.7841739272657833	1.1661358812025853
pickles_uk_30	G8	V	5333.35	7.480872776605935	5.6000127317908195	5.731694469154178	4.707377872908609	2.773494903697326	0.8926348588822108	1.0243165962455691
pickles_uk_31	K0	V	5188.0	7.86225571465333	5.899927265685179	5.899834309944559	4.921014947457451	2.941240767195879	0.978912318227728	0.9788193624871084
pickles_uk_33	K2	V	4886.52	8.738316927895305	6.399888247881606	6.070438477960401	5.236506489941526	3.501810437953779	1.1633817579400798	0.8339319880188754
pickles_uk_36	K5	V	4187.94	10.330160746714284	7.199770213403433	6.232153004113101	5.575979797581276	4.7541809491330085	1.6237904158221568	0.6561732065318253
pickles_uk_37	K7	V	3999.45	11.15674451489999	7.899815654479347	6.6985469995313025	6.110212164215767	5.046532350684224	1.7896034902635805	0.5883348353155355
pickles_uk_38	M0	V	3801.89	12.30758357252693	8.999861538864742	7.219123261373909	6.771195314875989	5.536388257650941	2.2286662239887534	0.44792794649792
pickles_uk_40	M2	V	3548.13	14.498817682397728	11.199871519016966	8.944000197932908	8.611430536378926	5.887387146018803	2.5884409826380406	0.3325696615539826
pickles_uk_43	M4	V	3111.72	17.21263153066443	13.399991007417377	9.976233728895714	9.704940153611041	7.507691377053391	3.695050853806336	0.27129357528467324
pickles_uk_44	M5	V	2951.21	18.400102955788704	14.599980264933187	10.070804504166126	10.104349823515868	8.295753132272836	4.495630441417319	-0.033545319349741476
pickles_uk_46	B2	IV	19952.6	-3.8838684316829912	-3.4001385059937874	-0.7482116275314539	-4.8913104997918	1.0074420681088085	1.4911719937980124	4.143098872260346
pickles_uk_47	B6	IV	12589.3	-1.0150545563722275	-1.3000945954092273	1.0754646875908591	-1.92841107224384	0.9133565158716124	0.6283164768346126	3.003875759834699
pickles_uk_48	A0	IV	9727.47	0.9956864285797309	0.2999176048207559	2.2244792520400622	-0.051253358375085156	1.046939786954816	0.35117096319584107	2.2757326104151474
pickles_uk_49	A7	IV	7943.28	2.3939986665630215	1.4999815101869558	3.004939987074934	1.1322953047888262	1.2617033617741953	0.3676862053981296	1.8726446822861078
pickles_uk_50	F0	IV	7030.72	3.1918002622878845	2.100009555335305	3.2455079345535722	1.6177004737308707	1.5740997885570138	0.4823090816044342	1.6278074608227016
pickles_uk_51	F5	IV	6561.45	2.65751514057812	1.5000003814904375	2.4061574879372998	0.9299281596490019	1.727586980929118	0.5700722218414356	1.476229328288298
