#        x        f(x)
    0.000000    0.0000E+00
    0.100000    1.5943E-05
    0.200000    5.0485E-04
    0.300000    3.7692E-03
    0.400000    1.5527E-02
    0.500000    4.6093E-02
    0.600000    1.1113E-01
    0.700000    2.3199E-01
    0.800000    4.3586E-01
    0.900000    7.5566E-01
    1.000000    1.2299E+00
    1.100000    1.9026E+00
    1.200000    2.8230E+00
    1.300000    4.0456E+00
    1.400000    5.6299E+00
    1.500000    7.6405E+00
    1.600000    1.0147E+01
    1.700000    1.3224E+01
    1.800000    1.6950E+01
    1.900000    2.1409E+01
    2.000000    2.6692E+01
    2.100000    3.2890E+01
    2.200000    4.0103E+01
    2.300000    4.8435E+01
    2.400000    5.7993E+01
    2.500000    6.8891E+01
    2.600000    8.1245E+01
    2.700000    9.5179E+01
    2.800000    1.1082E+02
    2.900000    1.2830E+02
    3.000000    1.4776E+02
    3.100000    1.6933E+02
    3.200000    1.9317E+02
    3.300000    2.1943E+02
    3.400000    2.4825E+02
    3.500000    2.7981E+02
    3.600000    3.1427E+02
    3.700000    3.5180E+02
    3.800000    3.9257E+02
    3.900000    4.3676E+02
    4.000000    4.8456E+02
    4.100000    5.3617E+02
    4.200000    5.9176E+02
    4.300000    6.5155E+02
    4.400000    7.1574E+02
    4.500000    7.8453E+02
    4.600000    8.5814E+02
    4.700000    9.3678E+02
    4.800000    1.0207E+03
    4.900000    1.1101E+03
    5.000000    1.2052E+03
    5.100000    1.3063E+03
    5.200000    1.4136E+03
    5.300000    1.5273E+03
    5.400000    1.6477E+03
    5.500000    1.7751E+03
    5.600000    1.9097E+03
    5.700000    2.0518E+03
    5.800000    2.2017E+03
    5.900000    2.3595E+03
    6.000000    2.5257E+03
    6.100000    2.7005E+03
    6.200000    2.8842E+03
    6.300000    3.0771E+03
    6.400000    3.2795E+03
    6.500000    3.4916E+03
    6.600000    3.7138E+03
    6.700000    3.9465E+03
    6.800000    4.1899E+03
    6.900000    4.4444E+03
    7.000000    4.7102E+03
    7.100000    4.9878E+03
    7.200000    5.2774E+03
    7.300000    5.5794E+03
    7.400000    5.8942E+03
    7.500000    6.2220E+03
    7.600000    6.5634E+03
    7.700000    6.9185E+03
    7.800000    7.2878E+03
    7.900000    7.6717E+03
    8.000000    8.0706E+03
