# alpha       (2/3)*F_3/2    F_1/2
  -16.000000  279.638883   42.873003
  -15.900000  275.371529   42.474286
  -15.800000  271.143983   42.076829
  -15.700000  266.956120   41.680637
  -15.600000  262.807813   41.285713
  -15.500000  258.698935   40.892062
  -15.400000  254.629358   40.499688
  -15.300000  250.598954   40.108594
  -15.200000  246.607596   39.718787
  -15.100000  242.655154   39.330268
  -15.000000  238.741498   38.943044
  -14.900000  234.866501   38.557119
  -14.800000  231.030031   38.172496
  -14.700000  227.231958   37.789180
  -14.600000  223.472151   37.407177
  -14.500000  219.750478   37.026490
  -14.400000  216.066808   36.647124
  -14.300000  212.421008   36.269085
  -14.200000  208.812946   35.892376
  -14.100000  205.242488   35.517002
  -14.000000  201.709501   35.142969
  -13.900000  198.213849   34.770281
  -13.800000  194.755399   34.398943
  -13.700000  191.334015   34.028960
  -13.600000  187.949561   33.660338
  -13.500000  184.601902   33.293081
  -13.400000  181.290899   32.927195
  -13.300000  178.016416   32.562684
  -13.200000  174.778316   32.199555
  -13.100000  171.576459   31.837813
  -13.000000  168.410706   31.477463
  -12.900000  165.280919   31.118510
  -12.800000  162.186957   30.760960
  -12.700000  159.128680   30.404820
  -12.600000  156.105946   30.050094
  -12.500000  153.118613   29.696788
  -12.400000  150.166540   29.344909
  -12.300000  147.249583   28.994462
  -12.200000  144.367599   28.645453
  -12.100000  141.520444   28.297889
  -12.000000  138.707972   27.951775
  -11.900000  135.930040   27.607118
  -11.800000  133.186500   27.263925
  -11.700000  130.477205   26.922200
  -11.600000  127.802010   26.581953
  -11.500000  125.160765   26.243188
  -11.400000  122.553322   25.905912
  -11.300000  119.979532   25.570133
  -11.200000  117.439245   25.235857
  -11.100000  114.932310   24.903092
  -11.000000  112.458576   24.571844
  -10.900000  110.017890   24.242121
  -10.800000  107.610100   23.913929
  -10.700000  105.235052   23.587277
  -10.600000  102.892592   23.262173
  -10.500000  100.582565   22.938622
  -10.400000   98.304815   22.616635
  -10.300000   96.059186   22.296217
  -10.200000   93.845519   21.977379
  -10.100000   91.663657   21.660126
  -10.000000   89.513440   21.344469
   -9.900000   87.394709   21.030416
   -9.800000   85.307303   20.717974
   -9.700000   83.251060   20.407153
   -9.600000   81.225817   20.097962
   -9.500000   79.231412   19.790409
   -9.400000   77.267680   19.484505
   -9.300000   75.334456   19.180258
   -9.200000   73.431572   18.877678
   -9.100000   71.558864   18.576775
   -9.000000   69.716161   18.277558
   -8.900000   67.903295   17.980038
   -8.800000   66.120096   17.684225
   -8.700000   64.366392   17.390130
   -8.600000   62.642012   17.097763
   -8.500000   60.946781   16.807135
   -8.400000   59.280526   16.518258
   -8.300000   57.643071   16.231142
   -8.200000   56.034238   15.945800
   -8.100000   54.453851   15.662243
   -8.000000   52.901729   15.380484
   -7.900000   51.377693   15.100535
   -7.800000   49.881561   14.822408
   -7.700000   48.413150   14.546117
   -7.600000   46.972276   14.271675
   -7.500000   45.558752   13.999095
   -7.400000   44.172393   13.728392
   -7.300000   42.813010   13.459580
   -7.200000   41.480414   13.192673
   -7.100000   40.174411   12.927686
   -7.000000   38.894811   12.664635
   -6.900000   37.641419   12.403536
   -6.800000   36.414038   12.144404
   -6.700000   35.212471   11.887257
   -6.600000   34.036520   11.632111
   -6.500000   32.885981   11.378984
   -6.400000   31.760654   11.127894
   -6.300000   30.660334   10.878860
   -6.200000   29.584813   10.631900
   -6.100000   28.533883   10.387034
   -6.000000   27.507335   10.144283
   -5.900000   26.504955    9.903667
   -5.800000   25.526529    9.665207
   -5.700000   24.571841    9.428926
   -5.600000   23.640670    9.194847
   -5.500000   22.732797    8.962993
   -5.400000   21.847996    8.733388
   -5.300000   20.986043    8.506057
   -5.200000   20.146708    8.281027
   -5.100000   19.329759    8.058323
   -5.000000   18.534964    7.837974
   -4.900000   17.762085    7.620007
   -4.800000   17.010882    7.404453
   -4.700000   16.281112    7.191341
   -4.600000   15.572531    6.980703
   -4.500000   14.884888    6.772572
   -4.400000   14.217931    6.566980
   -4.300000   13.571406    6.363963
   -4.200000   12.945051    6.163557
   -4.100000   12.338605    5.965798
   -4.000000   11.751802    5.770724
   -3.900000   11.184369    5.578376
   -3.800000   10.636034    5.388793
   -3.700000   10.106517    5.202018
   -3.600000    9.595535    5.018093
   -3.500000    9.102801    4.837064
   -3.400000    8.628024    4.658975
   -3.300000    8.170906    4.483874
   -3.200000    7.731147    4.311809
   -3.100000    7.308441    4.142829
   -3.000000    6.902477    3.976983
   -2.900000    6.512938    3.814324
   -2.800000    6.139503    3.654903
   -2.700000    5.781847    3.498773
   -2.600000    5.439637    3.345986
   -2.500000    5.112536    3.196597
   -2.400000    4.800202    3.050658
   -2.300000    4.502287    2.908222
   -2.200000    4.218439    2.769343
   -2.100000    3.948298    2.634070
   -2.000000    3.691502    2.502456
   -1.900000    3.447683    2.374547
   -1.800000    3.216468    2.250389
   -1.700000    2.997479    2.130025
   -1.600000    2.790334    2.013494
   -1.500000    2.594650    1.900832
   -1.400000    2.410038    1.792067
   -1.300000    2.236106    1.687224
   -1.200000    2.072461    1.586322
   -1.100000    1.918710    1.489370
   -1.000000    1.774455    1.396374
   -0.900000    1.639303    1.307326
   -0.800000    1.512858    1.222214
   -0.700000    1.394729    1.141014
   -0.600000    1.284526    1.063693
   -0.500000    1.181862    0.990208
   -0.400000    1.086358    0.920505
   -0.300000    0.997637    0.854520
   -0.200000    0.915332    0.792180
   -0.100000    0.839082    0.733402
    0.000000    0.768536    0.678093
    0.100000    0.703351    0.626152
    0.200000    0.643197    0.577469
    0.300000    0.587752    0.531931
    0.400000    0.536710    0.489414
    0.500000    0.489773    0.449792
    0.600000    0.446659    0.412936
    0.700000    0.407098    0.378713
    0.800000    0.370833    0.346989
    0.900000    0.337621    0.317629
    1.000000    0.307233    0.290500
    1.100000    0.279451    0.265470
    1.200000    0.254073    0.242410
    1.300000    0.230907    0.221193
    1.400000    0.209777    0.201696
    1.500000    0.190515    0.183801
    1.600000    0.172967    0.167396
    1.700000    0.156989    0.152373
    1.800000    0.142450    0.138627
    1.900000    0.129224    0.126063
    2.000000    0.117201    0.114588
    2.100000    0.106273    0.104116
    2.200000    0.096347    0.094566
    2.300000    0.087332    0.085864
    2.400000    0.079148    0.077938
    2.500000    0.071721    0.070724
    2.600000    0.064981    0.064161
    2.700000    0.058868    0.058194
    2.800000    0.053325    0.052770
    2.900000    0.048298    0.047842
    3.000000    0.043741    0.043366
    3.100000    0.039611    0.039303
    3.200000    0.035868    0.035615
    3.300000    0.032477    0.032269
    3.400000    0.029404    0.029233
    3.500000    0.026620    0.026481
    3.600000    0.024099    0.023984
    3.700000    0.021816    0.021722
    3.800000    0.019748    0.019671
    3.900000    0.017875    0.017812
    4.000000    0.016180    0.016128
